*************************************************************************             
 Light Scattering by Non-Spherical Particles + Polarization.                              
 Computation of Mueller matrix for convex polyhedron. 	         
 (Convex Hull Construction + Merge If Triangular Faces On Same Plane.)             
 Geometric optics + Monte Carlo, Diffraction is not considered.       		     
 2025.06 		     
 Mu Quan,  Email: mu.quan@foxmail.com 		     
*************************************************************************
The data read from the file is as follows:
refractiveIndex: 1.332000e+00+ i 0.000000e+00
positionNumber: 10000
batchSize: 10
batchNumber: 1
binNumber: 180
reflInsideControl: 10
totReflControl: 100
========================================================================== 
Hits counter: 33712; Total incoming NumPhoton:100000 (about 3.371200e+01%).
sum_Mlr_M11: 3.370689e+04; Missing:5.106788e+00 (about 1.514828e-02%).
Total run time: 2.956700e+01 seconds.
========================================================================== 
Scattering Angle      F11              F12              F21              F22              F33              F34              F43              F44
+0.000000e+00    +1.599748e+04    -1.502202e+01    -1.590860e+01    +1.540362e+04    +1.542478e+04    +6.506753e+00    -1.027881e+01    +1.549858e+04
+1.000000e+00    +3.285389e+00    -1.691013e-01    -1.744594e-01    +3.882655e-01    +1.542954e-01    +6.039451e-01    -6.048885e-01    +3.047054e+00
+2.000000e+00    +3.997109e+00    -2.048166e-01    -2.046075e-01    +1.586272e+00    +1.387703e+00    +6.658890e-01    -6.656243e-01    +3.797478e+00
+3.000000e+00    +2.301789e+00    -1.299553e-01    -1.298605e-01    +8.624713e-01    +7.374327e-01    +4.296296e-01    -4.296208e-01    +2.175830e+00
+4.000000e+00    +1.896463e+00    -1.096836e-01    -1.111922e-01    +1.038069e+00    +9.573507e-01    +2.333743e-01    -2.328761e-01    +1.812515e+00
+5.000000e+00    +1.720988e+00    -1.110746e-01    -1.107912e-01    +1.178286e+00    +1.126010e+00    +1.624323e-01    -1.611773e-01    +1.666663e+00
+6.000000e+00    +1.783578e+00    -1.241418e-01    -1.238330e-01    +1.185534e+00    +1.130158e+00    +1.585049e-01    -1.582532e-01    +1.726067e+00
+7.000000e+00    +1.255615e+00    -1.011495e-01    -1.012481e-01    +8.498373e-01    +8.046494e-01    +1.226292e-01    -1.227810e-01    +1.209220e+00
+8.000000e+00    +1.034143e+00    -9.569070e-02    -9.611536e-02    +7.874131e-01    +7.608800e-01    +6.804538e-02    -6.778761e-02    +1.005864e+00
+9.000000e+00    +1.048344e+00    -1.129595e-01    -1.125865e-01    +8.275856e-01    +8.033327e-01    +5.661320e-02    -5.683760e-02    +1.022745e+00
+1.000000e+01    +8.789872e-01    -1.092239e-01    -1.096381e-01    +7.139179e-01    +6.896155e-01    +3.706241e-02    -3.714716e-02    +8.537813e-01
+1.100000e+01    +1.066460e+00    -1.226970e-01    -1.222165e-01    +9.303153e-01    +9.042559e-01    +1.810301e-02    -1.876001e-02    +1.038586e+00
+1.200000e+01    +8.062643e-01    -1.148476e-01    -1.150653e-01    +6.776872e-01    +6.561344e-01    +1.705261e-02    -1.707792e-02    +7.836253e-01
+1.300000e+01    +6.940765e-01    -9.896275e-02    -9.905841e-02    +6.705675e-01    +6.550616e-01    -6.629074e-03    +6.666455e-03    +6.776270e-01
+1.400000e+01    +7.360474e-01    -1.041914e-01    -1.040145e-01    +6.501351e-01    +6.261909e-01    +1.226372e-02    -1.234987e-02    +7.110174e-01
+1.500000e+01    +7.718184e-01    -1.258657e-01    -1.257991e-01    +6.593698e-01    +6.363120e-01    +3.259275e-03    -3.270491e-03    +7.466648e-01
