*************************************************************************             
 Light Scattering by Non-Spherical Particles + Polarization.                              
 Computation of Mueller matrix for convex polyhedron. 	         
 (Convex Hull Construction + Merge If Triangular Faces On Same Plane.)             
 Geometric optics + Monte Carlo, Diffraction is not considered.       		     
 2025.06 		     
 Mu Quan,  Email: mu.quan@foxmail.com 		     
*************************************************************************
The data read from the file is as follows:
refractiveIndex: 1.332000e+00+ i 0.000000e+00
positionNumber: 10000
batchSize: 10
batchNumber: 1
binNumber: 180
reflInsideControl: 10
totReflControl: 100
========================================================================== 
Hits counter: 33712; Total incoming NumPhoton:100000 (about 3.371200e+01%).
sum_Mlr_M11: 3.370689e+04; Missing:5.106788e+00 (about 1.514828e-02%).
Total run time: 2.956700e+01 seconds.
========================================================================== 
Scattering Angle      F11           -F12/F11         -F21/F11          F22/F11          F33/F11          F34/F11          F43/F11          F44/F11
+2.500000e-01    +1.599748e+04    +9.390240e-04    +9.944443e-04    +9.628781e-01    +9.642007e-01    +4.067361e-04    -6.425267e-04    +9.688135e-01
+1.000000e+00    +3.285389e+00    +5.147072e-02    +5.310161e-02    +1.181795e-01    +4.696413e-02    +1.838276e-01    -1.841147e-01    +9.274561e-01
+2.000000e+00    +3.997109e+00    +5.124117e-02    +5.118887e-02    +3.968547e-01    +3.471767e-01    +1.665926e-01    -1.665264e-01    +9.500561e-01
+3.000000e+00    +2.301789e+00    +5.645837e-02    +5.641720e-02    +3.746961e-01    +3.203737e-01    +1.866503e-01    -1.866465e-01    +9.452779e-01
+4.000000e+00    +1.896463e+00    +5.783588e-02    +5.863134e-02    +5.473711e-01    +5.048085e-01    +1.230576e-01    -1.227950e-01    +9.557344e-01
+5.000000e+00    +1.720988e+00    +6.454119e-02    +6.437651e-02    +6.846566e-01    +6.542813e-01    +9.438316e-02    -9.365396e-02    +9.684340e-01
+6.000000e+00    +1.783578e+00    +6.960268e-02    +6.942954e-02    +6.646944e-01    +6.336469e-01    +8.886910e-02    -8.872793e-02    +9.677552e-01
+7.000000e+00    +1.255615e+00    +8.055774e-02    +8.063626e-02    +6.768296e-01    +6.408410e-01    +9.766468e-02    -9.778561e-02    +9.630501e-01
+8.000000e+00    +1.034143e+00    +9.253136e-02    +9.294200e-02    +7.614158e-01    +7.357587e-01    +6.579879e-02    -6.554952e-02    +9.726542e-01
+9.000000e+00    +1.048344e+00    +1.077504e-01    +1.073946e-01    +7.894219e-01    +7.662874e-01    +5.400251e-02    -5.421657e-02    +9.755814e-01
+1.000000e+01    +8.789872e-01    +1.242610e-01    +1.247323e-01    +8.122051e-01    +7.845570e-01    +4.216490e-02    -4.226133e-02    +9.713240e-01
+1.100000e+01    +1.066460e+00    +1.150507e-01    +1.146001e-01    +8.723395e-01    +8.479040e-01    +1.697486e-02    -1.759091e-02    +9.738631e-01
+1.200000e+01    +8.062643e-01    +1.424441e-01    +1.427141e-01    +8.405273e-01    +8.137956e-01    +2.115015e-02    -2.118154e-02    +9.719212e-01
+1.300000e+01    +6.940765e-01    +1.425819e-01    +1.427197e-01    +9.661291e-01    +9.437888e-01    -9.550927e-03    +9.604785e-03    +9.763002e-01
+1.400000e+01    +7.360474e-01    +1.415554e-01    +1.413149e-01    +8.832789e-01    +8.507481e-01    +1.666159e-02    -1.677864e-02    +9.659940e-01
+1.500000e+01    +7.718184e-01    +1.630768e-01    +1.629905e-01    +8.543070e-01    +8.244323e-01    +4.222852e-03    -4.237384e-03    +9.674099e-01
+1.600000e+01    +8.114227e-01    +1.525087e-01    +1.528411e-01    +8.668402e-01    +8.377992e-01    -2.837315e-03    +3.217633e-03    +9.689050e-01
+1.700000e+01    +6.522180e-01    +1.862303e-01    +1.859991e-01    +9.298114e-01    +8.938488e-01    +4.886649e-03    -4.880057e-03    +9.619411e-01
+1.800000e+01    +7.200441e-01    +1.960805e-01    +1.965374e-01    +9.311041e-01    +8.928649e-01    -9.489653e-03    +9.598024e-03    +9.591321e-01
+1.900000e+01    +5.993438e-01    +2.000675e-01    +1.998170e-01    +9.448160e-01    +9.064610e-01    -8.520412e-03    +8.537019e-03    +9.598530e-01
