*************************************************************************             
 Light Scattering by Non-Spherical Particles + Polarization.                              
 Computation of Mueller matrix for convex polyhedron. 	         
 (Convex Hull Construction + Merge If Triangular Faces On Same Plane.)             
 Geometric optics + Monte Carlo, Diffraction is not considered.       		     
 2025.06 		     
 Mu Quan,  Email: mu.quan@foxmail.com 		     
*************************************************************************
Hits counter: 33712; Total incoming NumPhoton:100000 (about 3.371200e+01%).
sum_Mlr_M11: 3.370689e+04; Missing:5.106788e+00 (about 1.514828e-02%).
Total run time: 2.956700e+01 seconds.
========================================================================== 
Scattering Angle      F11           -F12/F11         -F13/F11         -F14/F11         -F21/F11          F22/F11          F23/F11          F24/F11          F31/F11          F32/F11          F33/F11          F34/F11          F41/F11          F42/F11          F43/F11          F44/F11
+0.000000e+00    +1.599748e+04    +9.390240e-04    +9.413895e-05    +4.985382e-05    +9.944443e-04    +9.628781e-01    +1.781901e-03    -1.060200e-04    -1.142670e-04    -3.822639e-04    +9.642007e-01    +4.067361e-04    -3.294907e-05    -6.321581e-04    -6.425267e-04    +9.688135e-01
+1.000000e+00    +3.285389e+00    +5.147072e-02    -1.363252e-02    -4.703488e-03    +5.310161e-02    +1.181795e-01    -6.643366e-02    -3.137424e-02    -1.313263e-02    +6.640474e-02    +4.696413e-02    +1.838276e-01    +4.828366e-03    -3.119594e-02    -1.841147e-01    +9.274561e-01
+2.000000e+00    +3.997109e+00    +5.124117e-02    +4.712586e-03    +7.765615e-04    +5.118887e-02    +3.968547e-01    +6.408882e-02    +1.021465e-02    +4.659030e-03    -6.406936e-02    +3.471767e-01    +1.665926e-01    -7.607751e-04    +1.027807e-02    -1.665264e-01    +9.500561e-01
+3.000000e+00    +2.301789e+00    +5.645837e-02    -1.854875e-03    -6.892162e-04    +5.641720e-02    +3.746961e-01    -3.831747e-02    -5.741152e-03    -1.812817e-03    +3.828423e-02    +3.203737e-01    +1.866503e-01    +6.197638e-04    -5.792232e-03    -1.866465e-01    +9.452779e-01
+4.000000e+00    +1.896463e+00    +5.783588e-02    -5.868247e-03    -1.790373e-03    +5.863134e-02    +5.473711e-01    -1.244284e-01    -3.196259e-02    -6.380906e-03    +1.243976e-01    +5.048085e-01    +1.230576e-01    +1.760814e-03    -3.148267e-02    -1.227950e-01    +9.557344e-01
+5.000000e+00    +1.720988e+00    +6.454119e-02    -5.938131e-03    -2.959018e-03    +6.437651e-02    +6.846566e-01    -7.852621e-02    -2.645843e-02    -6.277014e-03    +7.806781e-02    +6.542813e-01    +9.438316e-02    +2.341825e-03    -2.695087e-02    -9.365396e-02    +9.684340e-01
+6.000000e+00    +1.783578e+00    +6.960268e-02    +9.270193e-03    +1.603297e-03    +6.942954e-02    +6.646944e-01    +9.222294e-02    +1.928672e-02    +9.784184e-03    -9.244551e-02    +6.336469e-01    +8.886910e-02    -1.618519e-03    +1.964981e-02    -8.872793e-02    +9.677552e-01
+7.000000e+00    +1.255615e+00    +8.055774e-02    +1.980107e-04    -1.491890e-03    +8.063626e-02    +6.768296e-01    +6.516515e-03    -1.345095e-02    +3.358066e-04    -6.779801e-03    +6.408410e-01    +9.766468e-02    +1.224968e-03    -1.386726e-02    -9.778561e-02    +9.630501e-01
+8.000000e+00    +1.034143e+00    +9.253136e-02    +2.863357e-04    -2.065676e-03    +9.294200e-02    +7.614158e-01    -1.394178e-02    -1.888998e-02    +1.290264e-04    +1.347854e-02    +7.357587e-01    +6.579879e-02    +1.765592e-03    -1.877772e-02    -6.554952e-02    +9.726542e-01
+9.000000e+00    +1.048344e+00    +1.077504e-01    +1.259827e-03    +2.298095e-04    +1.073946e-01    +7.894219e-01    +3.445387e-02    +5.072282e-03    +9.226071e-04    -3.463996e-02    +7.662874e-01    +5.400251e-02    -3.432076e-04    +5.012803e-03    -5.421657e-02    +9.755814e-01
